obs_n,study_id,study_name,effect,se,t_stat,95_lower,95_upper,pcc,se_pcc,se_pcc_precision,est_short_run,est_long_run,est_agg_city,est_agg_subregion,est_agg_region,est_agg_country,est_agg_continent,n_obs,regressands,reg_df,study_size,years_of_schooling,years_of_experience,schooling_years,schooling_levels,wage_log_hourly,wage_log_daily,wage_log_monthly,wage_mean_annual_earnings,data_type_micro,data_type_survey,data_type_national_register,data_cross_section,data_panel,data_avgyear,no_ed,prim_ed,sec_ed,higher_ed,wage_earners,self_employed,gender_male,gender_female,private_sector,public_sector,ethnicity_caucasian,ethnicity_other,sector_rural,sector_urban,country,region_advanced_economies,region_east_asia_and_pacific,region_europe_and_central_asia,region_latin_america_and_caribbean,region_middle_east_and_north_africa,region_south_asia,region_sub_saharan_africa,income_high,income_middle,income_low,med_exp,min_wage,freedom_index,mean_age,method_ols,method_hurdle,method_cohort,method_fe,method_2sls,method_heckman,method_probit,method_IV,ability_direct,ability_proxy,ability_uncontrolled,ability_unmentioned,instr_parents_ed,instr_distance_to_school,instr_other,age_control,age_sq_control,exp_control,exp_sq_control,ethnicity_control,health_control,gender_control,marriage_control,occupation_control,firm_char_control,area_control,macro_var_control,impact_factor,citations,published,unpublished,pub_year,effect_w,se_w,se_precision_w,t_w,significant_w,X
1092,73,Peters et al. (2022),6.47,0.11959334565619223,54.1,6.350406654343807,6.589593345656192,0.1505645358949791,0.0027830782975042344,359.31436097100266,0,1,0,0,0,1,0,126199,18,126180,12,13.43,21.71,1,0,1,0,0,0,0,1,0,0,1,2010,7.0000000000000001E-3,8.5999999999999993E-2,0.65700000000000003,0.25,NA,NA,0.50949999999999995,0.49050000000000005,0.81699999999999995,0.183,0,1,0.105,0.89500000000000002,Australia,1,0,0,0,0,0,0,1,0,0,30105,1908,0.923,42.22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0.029,0,1,0,43,NA,NA,NA,NA,NA,X
1093,73,Peters et al. (2022),5.53,0.10533333333333333,52.5,5.424666666666667,5.6353333333333335,0.14620821867254594,0.0027849184509056366,359.07694161558186,0,1,0,0,0,1,0,126199,18,126180,12,13.43,21.71,1,0,1,0,0,0,0,1,0,0,1,2010,7.0000000000000001E-3,8.5999999999999993E-2,0.65700000000000003,0.25,NA,NA,0.50949999999999995,0.49050000000000005,0.81699999999999995,0.183,0,1,0.105,0.89500000000000002,Australia,1,0,0,0,0,0,0,1,0,0,30105,1908,0.923,42.22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0.029,0,1,0,43,NA,NA,NA,NA,NA,X
1094,73,Peters et al. (2022),6.47,0.18683222639330058,34.63,6.283167773606699,6.6568322263933,0.13532895810771067,0.003907853251738685,255.8949724007879,0,1,0,0,0,1,0,64302,18,64283,12,13.03,21.71,1,0,1,0,0,0,0,1,0,0,1,2010,7.0000000000000001E-3,8.5999999999999993E-2,0.65700000000000003,0.25,NA,NA,1,0,0.81699999999999995,0.183,0,1,0.105,0.89500000000000002,Australia,1,0,0,0,0,0,0,1,0,0,30105,1908,0.923,42.22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0.029,0,1,0,43,NA,NA,NA,NA,NA,X
1095,73,Peters et al. (2022),5.39,0.16181326928850193,33.31,5.2281867307114975,5.551813269288502,0.13025982064986313,0.003910531991890217,255.7196826605258,0,1,0,0,0,1,0,64302,18,64283,12,13.43,21.71,1,0,1,0,0,0,0,1,0,0,1,2010,7.0000000000000001E-3,8.5999999999999993E-2,0.65700000000000003,0.25,NA,NA,1,0,0.81699999999999995,0.183,0,1,0.105,0.89500000000000002,Australia,1,0,0,0,0,0,0,1,0,0,30105,1908,0.923,42.22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0.029,0,1,0,43,NA,NA,NA,NA,NA,X
1096,73,Peters et al. (2022),6.51,0.16303531179564237,39.93,6.346964688204357,6.673035311795642,0.15849181301720344,0.003969241498051676,251.9373035102186,0,1,0,0,0,1,0,61897,18,61878,12,13.03,21.71,1,0,1,0,0,0,0,1,0,0,1,2010,7.0000000000000001E-3,8.5999999999999993E-2,0.65700000000000003,0.25,NA,NA,0,1,0.81699999999999995,0.183,0,1,0.105,0.89500000000000002,Australia,1,0,0,0,0,0,0,1,0,0,30105,1908,0.923,42.22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0.029,0,1,0,43,NA,NA,NA,NA,NA,X
1097,73,Peters et al. (2022),5.55,0.1410060975609756,39.36,5.408993902439025,5.691006097560975,0.15628499635930793,0.00397065539530762,251.84759200754732,0,1,0,0,0,1,0,61897,18,61878,12,13.43,21.71,1,0,1,0,0,0,0,1,0,0,1,2010,7.0000000000000001E-3,8.5999999999999993E-2,0.65700000000000003,0.25,NA,NA,0,1,0.81699999999999995,0.183,0,1,0.105,0.89500000000000002,Australia,1,0,0,0,0,0,0,1,0,0,30105,1908,0.923,42.22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0.029,0,1,0,43,NA,NA,NA,NA,NA,X
1098,73,Peters et al. (2022),6.55,0.1407089151450054,46.55,6.409291084854995,6.690708915145005,0.16672821915906277,0.003581701807928309,279.1968884138933,0,1,0,0,0,1,0,75803,18,75784,12,13.03,21.71,1,0,1,0,0,0,0,1,0,0,1,2010,7.0000000000000001E-3,8.5999999999999993E-2,0.65700000000000003,0.25,NA,NA,0.50949999999999995,0.49050000000000005,0.81699999999999995,0.183,0,1,0.105,0.89500000000000002,Australia,1,0,0,0,0,0,0,1,0,0,30105,1908,0.923,42.22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0.029,0,1,0,43,NA,NA,NA,NA,NA,X
1099,73,Peters et al. (2022),5.61,0.12384105960264902,45.3,5.486158940397352,5.733841059602649,0.16237071243156162,0.0035843424377828173,278.9912005780827,0,1,0,0,0,1,0,75803,18,75784,12,13.43,21.71,1,0,1,0,0,0,0,1,0,0,1,2010,7.0000000000000001E-3,8.5999999999999993E-2,0.65700000000000003,0.25,NA,NA,0.50949999999999995,0.49050000000000005,0.81699999999999995,0.183,0,1,0.105,0.89500000000000002,Australia,1,0,0,0,0,0,0,1,0,0,30105,1908,0.923,42.22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0.029,0,1,0,43,NA,NA,NA,NA,NA,X
1100,73,Peters et al. (2022),6.24,0.19734345351043645,31.62,6.042656546489564,6.437343453510437,0.1395012943149423,0.004411805639308738,226.66456361769477,0,1,0,0,0,1,0,50396,18,50377,12,13.03,21.71,1,0,1,0,0,0,0,1,0,0,1,2010,7.0000000000000001E-3,8.5999999999999993E-2,0.65700000000000003,0.25,NA,NA,0.50949999999999995,0.49050000000000005,0.81699999999999995,0.183,0,1,0.105,0.89500000000000002,Australia,1,0,0,0,0,0,0,1,0,0,30105,1908,0.923,42.22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0.029,0,1,0,43,NA,NA,NA,NA,NA,X
1101,73,Peters et al. (2022),5.21,0.1722883597883598,30.24,5.03771164021164,5.38228835978836,0.13352397916259445,0.004415475501408547,226.4761744643352,0,1,0,0,0,1,0,50396,18,50377,12,13.43,21.71,1,0,1,0,0,0,0,1,0,0,1,2010,7.0000000000000001E-3,8.5999999999999993E-2,0.65700000000000003,0.25,NA,NA,0.50949999999999995,0.49050000000000005,0.81699999999999995,0.183,0,1,0.105,0.89500000000000002,Australia,1,0,0,0,0,0,0,1,0,0,30105,1908,0.923,42.22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0.029,0,1,0,43,NA,NA,NA,NA,NA,X
1102,74,Sakellariou & Fang (2016),7.2,0.6,12,6.6000000000000005,7.8,0.20433118274318615,0.01702759856193218,58.728187440104094,1,0,0,1,0,0,0,3316,10,3305,14,9.7,17.9,1,0,1,0,0,0,0,1,0,1,0,2009,6.0000000000000001E-3,6.0999999999999999E-2,0.56599999999999995,0.36699999999999999,NA,NA,1,0,0.82199999999999995,0.17799999999999999,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,42.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1103,74,Sakellariou & Fang (2016),9.1,2.3,3.956521739130435,6.8,11.399999999999999,0.06864933837980133,0.017350931678411324,57.633792728504446,1,0,0,1,0,0,0,3316,9,3306,14,9.7,17.9,1,0,1,0,0,0,0,1,0,1,0,2009,6.0000000000000001E-3,6.0999999999999999E-2,0.56599999999999995,0.36699999999999999,NA,NA,1,0,0.82199999999999995,0.17799999999999999,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,42.1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1104,74,Sakellariou & Fang (2016),5.7,0.6,9.5,5.1000000000000005,6.3,0.1889355130790461,0.019887948745162747,50.28170641495772,1,0,0,1,0,0,0,2451,12,2438,14,9.7,17.9,1,0,1,0,0,0,0,1,0,1,0,2009,6.0000000000000001E-3,6.0999999999999999E-2,0.56599999999999995,0.36699999999999999,NA,NA,0,1,0.82199999999999995,0.17799999999999999,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,42.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1105,74,Sakellariou & Fang (2016),5.4,0.6,9.000000000000002,4.800000000000001,6,0.15942318366671104,0.017713687074079002,56.45352070508977,1,0,0,1,0,0,0,3119,12,3106,14,9.7,17.9,1,0,1,0,0,0,0,1,0,1,0,2009,6.0000000000000001E-3,6.0999999999999999E-2,0.56599999999999995,0.36699999999999999,NA,NA,0,1,0.82199999999999995,0.17799999999999999,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,42.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1106,74,Sakellariou & Fang (2016),5,1.5,3.3333333333333335,3.5,6.5,0.06734197595852695,0.020202592787558083,49.49859706204926,1,0,0,1,0,0,0,2451,11,2439,14,9.7,17.9,1,0,1,0,0,0,0,1,0,1,0,2009,6.0000000000000001E-3,6.0999999999999999E-2,0.56599999999999995,0.36699999999999999,NA,NA,0,1,0.82199999999999995,0.17799999999999999,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,42.1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1107,74,Sakellariou & Fang (2016),6.3,1.3,4.846153846153846,5,7.6,0.09767841011213367,0.020155862404091077,49.61335714402515,1,0,0,1,0,0,0,2451,12,2438,14,9.7,17.9,1,0,1,0,0,0,0,1,0,1,0,2009,6.0000000000000001E-3,6.0999999999999999E-2,0.56599999999999995,0.36699999999999999,NA,NA,0,1,0.82199999999999995,0.17799999999999999,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,42.1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1108,74,Sakellariou & Fang (2016),4.5,0.9,5,3.6,5.4,0.13277976293203617,0.026555952586407236,37.656340767525464,1,0,0,1,0,0,0,1405,11,1393,14,9.3,10.7,1,0,1,0,0,0,0,1,0,1,0,2009,2.4E-2,0.95,0.65500000000000003,0.22600000000000001,NA,NA,1,0,0.94499999999999995,0.55000000000000004,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,34.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1109,74,Sakellariou & Fang (2016),8,3.4,2.3529411764705883,4.6,11.4,0.06287295611108865,0.026721006347212674,37.42374022168189,1,0,0,1,0,0,0,1405,9,1395,14,9.3,10.7,1,0,1,0,0,0,0,1,0,1,0,2009,2.4E-2,0.95,0.65500000000000003,0.22600000000000001,NA,NA,1,0,0.94499999999999995,0.55000000000000004,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,34.7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1110,74,Sakellariou & Fang (2016),8,3.5,2.2857142857142856,4.5,11.5,0.061083386705926834,0.026723981683842993,37.419573618574525,1,0,0,1,0,0,0,1405,9,1395,14,9.3,10.7,1,0,1,0,0,0,0,1,0,1,0,2009,2.4E-2,0.95,0.65500000000000003,0.22600000000000001,NA,NA,1,0,0.94499999999999995,0.55000000000000004,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,34.7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1111,74,Sakellariou & Fang (2016),8.4,3.8,2.210526315789474,4.6000000000000005,12.2,0.05908119733986171,0.026727208320413625,37.415056148465126,1,0,0,1,0,0,0,1405,9,1395,14,9.3,10.7,1,0,1,0,0,0,0,1,0,1,0,2009,2.4E-2,0.95,0.65500000000000003,0.22600000000000001,NA,NA,1,0,0.94499999999999995,0.55000000000000004,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,34.7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1112,74,Sakellariou & Fang (2016),3.6,0.8,4.5,2.8,4.4,0.14575018235653436,0.03238892941256319,30.874746962525865,1,0,0,1,0,0,0,945,11,933,14,9.3,10.7,1,0,1,0,0,0,0,1,0,1,0,2009,2.4E-2,0.95,0.65500000000000003,0.22600000000000001,NA,NA,0,1,0.94499999999999995,0.55000000000000004,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,34.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1113,74,Sakellariou & Fang (2016),3.3,0.9,3.6666666666666665,2.4,4.2,0.11323970232334872,0.030883555179095103,32.37969185221571,1,0,0,1,0,0,0,1047,11,1035,14,9.3,10.7,1,0,1,0,0,0,0,1,0,1,0,2009,2.4E-2,0.95,0.65500000000000003,0.22600000000000001,NA,NA,0,1,0.94499999999999995,0.55000000000000004,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,34.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1114,74,Sakellariou & Fang (2016),7.4,3.2,2.3125,4.2,10.600000000000001,0.07545161905031735,0.03262772715689398,30.64877903359284,1,0,0,1,0,0,0,945,10,934,14,9.3,10.7,1,0,1,0,0,0,0,1,0,1,0,2009,2.4E-2,0.95,0.65500000000000003,0.22600000000000001,NA,NA,0,1,0.94499999999999995,0.55000000000000004,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,34.7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1115,74,Sakellariou & Fang (2016),7.2,4,1.8,3.2,11.2,0.05876456598625165,0.03264698110347314,30.630703550522632,1,0,0,1,0,0,0,945,9,935,14,9.3,10.7,1,0,1,0,0,0,0,1,0,1,0,2009,2.4E-2,0.95,0.65500000000000003,0.22600000000000001,NA,NA,0,1,0.94499999999999995,0.55000000000000004,0,1,0,1,China,0,1,0,0,0,0,0,0,1,0,1732,201,0.282,34.7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,4.149,6,1,0,37,NA,NA,NA,NA,NA,X
1116,75,Aakvik et al. (2010),8.2,0.1,81.99999999999999,8.1,8.299999999999999,0.17889608075811494,0.0021816595214404263,458.3666654546336,1,0,0,0,0,1,0,203387,10,203376,3,12.09,7.74,1,0,0,0,0,1,0,0,1,1,0,1995,0,0.27299999999999991,0.34200000000000003,0.38500000000000001,1,0,1,0,NA,NA,1,0,NA,NA,Norway,1,0,0,0,0,0,0,1,0,0,19841,31,0.927,42.26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.781,289,1,0,31,NA,NA,NA,NA,NA,X
1117,75,Aakvik et al. (2010),9.4,0.2,47,9.200000000000001,9.6,0.10365808994412669,0.002205491275406951,453.41371836326255,1,0,0,0,0,1,0,203387,11,203375,3,12.09,7.74,1,0,0,0,0,1,0,0,1,1,0,1995,0,0.27299999999999991,0.34200000000000003,0.38500000000000001,1,0,1,0,NA,NA,1,0,NA,NA,Norway,1,0,0,0,0,0,0,1,0,0,19841,31,0.927,42.26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.781,289,1,0,31,NA,NA,NA,NA,NA,X
1118,75,Aakvik et al. (2010),7.4,0.5,14.8,6.9,7.9,0.03280048397291459,0.0022162489170888234,451.2128544268215,1,0,0,0,0,1,0,203387,12,203374,3,12.09,7.74,1,0,0,0,0,1,0,0,1,1,0,1995,0,0.27299999999999991,0.34200000000000003,0.38500000000000001,1,0,1,0,NA,NA,1,0,NA,NA,Norway,1,0,0,0,0,0,0,1,0,0,19841,31,0.927,42.26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.781,289,1,0,31,NA,NA,NA,NA,NA,X
1119,76,Angrist (1995),4,0.3,13.333333333333334,3.7,4.3,0.07648728857011806,0.005736546642758854,174.32090459201322,0,1,0,0,1,0,0,30215,4,30210,10,7.84,19.26,1,0,0,0,0,1,1,0,0,0,1,1982,NA,NA,NA,NA,0.48,0.52,1,0,NA,NA,0,1,NA,NA,Israel,1,0,0,0,0,0,0,1,0,0,8556,272,0.941,33.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3.007,321,1,0,16,NA,NA,NA,NA,NA,X
1120,76,Angrist (1995),3.2,0.3,10.666666666666668,2.9000000000000004,3.5,0.06051355415335142,0.005673145701876695,176.2690494039659,0,1,0,0,1,0,0,30962,4,30957,10,7.98,19.12,1,0,0,0,0,1,1,0,0,0,1,1983,NA,NA,NA,NA,0.48,0.52,1,0,NA,NA,0,1,NA,NA,Israel,1,0,0,0,0,0,0,1,0,0,9134,277,0.941,33.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3.007,321,1,0,16,NA,NA,NA,NA,NA,X
1121,76,Angrist (1995),3.9,0.3,13,3.6,4.2,0.07060526668922866,0.005431174360709896,184.12224200242622,0,1,0,0,1,0,0,33737,4,33732,10,8.07,19.130000000000003,1,0,0,0,0,1,1,0,0,0,1,1984,NA,NA,NA,NA,0.48,0.52,1,0,NA,NA,0,1,NA,NA,Israel,1,0,0,0,0,0,0,1,0,0,8398,283,0.941,33.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3.007,321,1,0,16,NA,NA,NA,NA,NA,X
1122,76,Angrist (1995),3.1,0.3,10.333333333333334,2.8000000000000003,3.4,0.055704873794652686,0.005390794238192195,185.5014225761565,0,1,0,0,1,0,0,34309,4,34304,10,8.19,18.810000000000002,1,0,0,0,0,1,1,0,0,0,1,1985,NA,NA,NA,NA,0.48,0.52,1,0,NA,NA,0,1,NA,NA,Israel,1,0,0,0,0,0,0,1,0,0,8357,295,0.941,33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3.007,321,1,0,16,NA,NA,NA,NA,NA,X
1123,76,Angrist (1995),2.1,0.2,10.5,1.9000000000000001,2.3000000000000003,0.05515459795257231,0.0052528188526259345,190.37397406158226,0,1,0,0,1,0,0,36137,4,36132,10,8.37,18.43,1,0,0,0,0,1,1,0,0,0,1,1986,NA,NA,NA,NA,0.52,0.48,1,0,NA,NA,0,1,NA,NA,Israel,1,0,0,0,0,0,0,1,0,0,9470,320,0.941,32.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3.007,321,1,0,16,NA,NA,NA,NA,NA,X
1124,76,Angrist (1995),2.6,0.2,13,2.4,2.8000000000000003,0.06550469276536819,0.005038822520412937,198.45906378898397,0,1,0,0,1,0,0,39222,4,39217,10,8.36,18.439999999999998,1,0,0,0,0,1,1,0,0,0,1,1987,NA,NA,NA,NA,0.51,0.49,1,0,NA,NA,0,1,NA,NA,Israel,1,0,0,0,0,0,0,1,0,0,10148,347,0.941,32.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3.007,321,1,0,16,NA,NA,NA,NA,NA,X
1125,76,Angrist (1995),1.1,0.2,5.5,0.9000000000000001,1.3,0.029589463605586133,0.0053799024737429335,185.87697544343678,0,1,0,0,1,0,0,34525,4,34520,10,8.39,18.310000000000002,1,0,0,0,0,1,1,0,0,0,1,1988,NA,NA,NA,NA,0.51,0.49,1,0,NA,NA,0,1,NA,NA,Israel,1,0,0,0,0,0,0,1,0,0,10449,368,0.941,32.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3.007,321,1,0,16,NA,NA,NA,NA,NA,X
1126,76,Angrist (1995),0.3,0.3,1,0,0.6,0.005323367852764947,0.005323367852764947,187.85100478836944,0,1,0,0,1,0,0,35292,4,35287,10,8.49,18.309999999999995,1,0,0,0,0,1,1,0,0,0,1,1989,NA,NA,NA,NA,0.51,0.49,1,0,NA,NA,0,1,NA,NA,Israel,1,0,0,0,0,0,0,1,0,0,10329,384,0.941,32.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3.007,321,1,0,16,NA,NA,NA,NA,NA,X
1127,76,Angrist (1995),1.4,0.2,6.999999999999999,1.2,1.5999999999999999,0.036535223046903396,0.005219317578129057,191.59592897553958,0,1,0,0,1,0,0,36665,4,36660,10,8.53,18.369999999999997,1,0,0,0,0,1,1,0,0,0,1,1990,NA,NA,NA,NA,0.51,0.49,1,0,NA,NA,0,1,NA,NA,Israel,1,0,0,0,0,0,0,1,0,0,10612,394,0.941,32.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3.007,321,1,0,16,NA,NA,NA,NA,NA,X
1128,76,Angrist (1995),1.7,0.3,5.666666666666667,1.4,2,0.030657016823745113,0.005410061792425608,184.84077231799026,0,1,0,0,1,0,0,34139,4,34134,10,8.65,18.25,1,0,0,0,0,1,1,0,0,0,1,1991,NA,NA,NA,NA,0.5,0.5,1,0,NA,NA,0,1,NA,NA,Israel,1,0,0,0,0,0,0,1,0,0,10717,416,0.941,32.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3.007,321,1,0,16,NA,NA,NA,NA,NA,X
1129,77,Angrist et al. (1991),7.15,2.19,3.264840182648402,4.960000000000001,9.34,0.0065664947449103166,0.002011276012776726,497.1968012582324,1,0,0,0,0,1,0,247199,4,247194,28,12.79,35.71,1,0,0,0,1,0,0,1,0,1,0,1970,0.11499999999999999,0.11499999999999999,0.53,0.24,NA,NA,1,0,NA,NA,0,1,NA,NA,United States,1,0,0,0,0,0,0,1,0,0,15553,1935,0.897,54.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,3.092,3590,1,0,12,NA,NA,NA,NA,NA,X
1130,77,Angrist et al. (1991),8.01,0.04,200.25,7.97,8.049999999999999,0.3736020060409945,0.0018656779327889863,535.9981926275498,1,0,0,0,0,1,0,247199,4,247194,28,12.79,35.71,1,0,0,0,1,0,0,1,0,1,0,1970,0.11499999999999999,0.11499999999999999,0.53,0.24,NA,NA,1,0,NA,NA,0,1,NA,NA,United States,1,0,0,0,0,0,0,1,0,0,15553,1935,0.897,54.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,3.092,3590,1,0,12,NA,NA,NA,NA,NA,X
1131,77,Angrist et al. (1991),10.2,2.39,4.2677824267782425,7.809999999999999,12.59,0.007457304732321892,0.0017473488539460121,572.2955652168225,1,0,0,0,0,1,0,327509,4,327504,28,12.79,35.71,1,0,0,0,1,0,0,1,0,1,0,1970,0.11499999999999999,0.11499999999999999,0.53,0.24,NA,NA,1,0,NA,NA,0,1,NA,NA,United States,1,0,0,0,0,0,0,1,0,0,15553,1935,0.897,54.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,3.092,3590,1,0,12,NA,NA,NA,NA,NA,X
1132,77,Angrist et al. (1991),7.09,0.03,236.33333333333334,7.06,7.12,0.3817007645355454,0.0016150949134085138,619.1586585395091,1,0,0,0,0,1,0,327509,4,327504,28,12.79,35.71,1,0,0,0,1,0,0,1,0,1,0,1970,0.11499999999999999,0.11499999999999999,0.53,0.24,NA,NA,1,0,NA,NA,0,1,NA,NA,United States,1,0,0,0,0,0,0,1,0,0,15553,1935,0.897,54.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,3.092,3590,1,0,12,NA,NA,NA,NA,NA,X
1133,77,Angrist et al. (1991),5.73,0.03,191.00000000000003,5.7,5.760000000000001,0.26400865684112146,0.0013822442766550861,723.4611254241654,1,0,0,0,0,1,0,486926,10,486915,28,13.56,24.939999999999998,1,0,0,0,1,0,0,1,0,1,0,1980,6.9999999999999979E-2,6.9999999999999979E-2,0.56000000000000005,0.3,NA,NA,1,0,NA,NA,0,1,NA,NA,United States,1,0,0,0,0,0,0,1,0,0,19291,1766,0.919,44.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.092,3590,1,0,12,NA,NA,NA,NA,NA,X
1134,77,Angrist et al. (1991),5.53,1.38,4.007246376811595,4.15,6.91,0.0057426494566007805,0.0014330662296761442,697.8044554339879,1,0,0,0,0,1,0,486926,10,486915,28,13.56,24.939999999999998,1,0,0,0,1,0,0,1,0,1,0,1980,6.9999999999999979E-2,6.9999999999999979E-2,0.56000000000000005,0.3,NA,NA,1,0,NA,NA,0,1,NA,NA,United States,1,0,0,0,0,0,0,1,0,0,19291,1766,0.919,44.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.092,3590,1,0,12,NA,NA,NA,NA,NA,X
