Study title,Link,Citation,
HECS FOR TAFE: THE CASE FOR,https://cdn.treasury.gov.au/uploads/sites/1/2017/06/TWP-2007-02.pdf,"CONTINGENT, EXTENDING INCOME, and TRAINING SECTOR. ""HECS FOR TAFE: THE CASE FOR."" (2007).", 
Linking education policy to labor market outcomes,,Linking education policy to labor market outcomes  https://books.google.com/books?hl=en&lr=&id=LJqsmW9bdN4C&oi=fnd&pg=PR7&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=VMNqwMR9wc&sig=BD5FXFasTdcyUzZOnd5eZ3b7voI, 
Intergenerational schooling mobility and macro conditions and schooling policies in Latin America,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1817183,"Birdsall, Nancy, Jere Behrman, and Miguel Székely. ""Intergenerational schooling mobility and macro conditions and schooling policies in Latin America."" (1998).", 
The Mincer human capital model in Pakistan: Implications for education policy,https://journals.sagepub.com/doi/pdf/10.1177/139156140800900209,"Abbas, Qaisar, and James Foreman-Peck. ""The Mincer human capital model in Pakistan: Implications for education policy."" South Asia Economic Journal 9, no. 2 (2008): 435-462.", 
Wage functions and rates of return to education in Italy,http://www.ecineq.org/ecineq_bari13/FILESxBari13/CR2/p253.pdf,"Fiaschi, Davide, and Cecilia Gabbriellini. ""Wage functions and rates of return to education in Italy."" In Fifth Meeting of the Society for the Study of Economic Inequality (ECINEQ) Bari (Italy). 2013.", 
Implications of financing higher education for access and equity: The case of Syria,https://link.springer.com/article/10.1007/s11125-011-9178-6,"Kabbani, Nader, and Siba Salloum. ""Implications of financing higher education for access and equity: The case of Syria."" Prospects 41, no. 1 (2011): 97-113.", 
Czech Returns to Schooling: Does the Short Supply of College Education Bite?,https://www.cerge-ei.cz/pdf/wp/Wp213.pdf,"Jurajda, Štìpán. Czech Returns to Schooling: Does the Short Supply of College Education Bite?. CERGE-EI, 2003.", 
Learning and earning in Nigeria: who works for less?,https://www.inderscienceonline.com/doi/abs/10.1504/IJEED.2020.108313,"Ozougwu, Ben. ""Learning and earning in Nigeria: who works for less?."" International Journal of Education Economics and Development 11, no. 3 (2020): 244-259.", 
Measuring and accounting for cross-country differences in education quality,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1329968,"Schoellman, Todd. ""Measuring and accounting for cross-country differences in education quality."" Available at SSRN 1329968 (2009).", 
Assessing the Returns to Education in The Gambia,https://academic.oup.com/jae/article-abstract/21/4/580/695739,"Foltz, Jeremy D., and Ousman Gajigo. ""Assessing the Returns to Education in the Gambia."" Journal of African Economies 21, no. 4 (2012): 580-608.", 
Estimating returns to schooling in urban China using conventional and heteroskedasticity-based instruments,https://www.sciencedirect.com/science/article/pii/S026499931500019X,"Mishra, Vinod, and Russell Smyth. ""Estimating returns to schooling in urban China using conventional and heteroskedasticity-based instruments."" Economic modelling 47 (2015): 166-173.", 
Assessing the economic benefits of education: reconciling microeconomic and macroeconomic approaches,https://ifs.org.uk/sites/default/files/output_url_files/caytreport04.pdf,"Cattan, Sarah, and Claire Crawford. ""Assessing the economic benefits of education: reconciling microeconomic and macroeconomic approaches."" CAYT Report. London: Centre for Analysis of Youth Transitions (2013).", 
Different returns to different degrees? Evidence from the British Cohort Study 1970,https://ageconsearch.umn.edu/record/269754/,"Bratti, Massimiliano, Robin Naylor, and Jeremy Smith. Different returns to different degrees? Evidence from the British Cohort Study 1970. No. 2068-2018-1578. 2006.", 
Returns for entrepreneurs versus employees: The effect of education and personal control on the relative performance of entrepreneurs vis-?-vis wage employees,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1520895,"van Praag, Mirjam, Arjen van Witteloostuijn, and Justin van der Sluis. ""Returns for entrepreneurs versus employees: The effect of education and personal control on the relative performance of entrepreneurs vis-?-vis wage employees."" (2009).", 
The redistributive impact of education in the European Union,http://www.cerc.gouv.fr/meetings/seminairenovembre2002/donoghue.pdf,"O’Donoghue, Cathal. ""The redistributive impact of education in the European Union."" Communication préparée pour le séminaire organisé par le CERC,«Les effets redistributifs de l’éducation: les enseignements d’une approche monétaire statique (2002).", 
Family and gender still matter: The heterogeneity of returns to education in Germany,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=441701,"Schnabel, Isabel, and Reinhold Schnabel. ""Family and gender still matter: The heterogeneity of returns to education in Germany."" (2002).", 
Returns to schooling in the Portuguese economy: a reassessment,https://hrcak.srce.hr/200992,"Campos, Maria Manuel, and Hugo Reis. ""Returns to schooling in the Portuguese economy: a reassessment."" Public Sector Economics 42, no. 2 (2018): 215-242.", 
"Education, inequality and economic mobility in South Africa",https://search.proquest.com/openview/5b35125bab4abfc17864c797ec478cb9/1?pq-origsite=gscholar&cbl=18750&diss=y,"Hertz, Thomas Nathaniel. Education, inequality and economic mobility in South Africa. University of Massachusetts Amherst, 2001.", 
ON THE REWARDS TO EDUCATION IN SPAIN: ENDOGENEITY AND REGIONAL DIFFERENCES,https://www.academia.edu/download/3861593/20110623_def_Lillo-Ba_uls_and_Casado-D_az__2010_On_the_rewards_to_education_in_Spain_Endogeneity_and_regional_differences.pdf,"Lillo-Ba?ulsa, Adelaida, and José M. Casado-Díazb. ""ON THE REWARDS TO EDUCATION IN SPAIN: ENDOGENEITY AND REGIONAL DIFFERENCES.""", 
The costs of early school leaving in Europe,https://link.springer.com/article/10.1186/2193-9004-3-22,"Brunello, Giorgio, and Maria de Paola. ""The costs of early school leaving in Europe."" IZA Journal of Labor Policy 3 (2014): 1-31.", 
Export Shocks and the Volatility of Returns to Schooling,https://www.academia.edu/download/68983397/WPS7144.pdf,"Lederman, Daniel, and Diego Rojas. ""Export Shocks and the Volatility of Returns to Schooling."" (2014).", 
Returns to inventors,https://direct.mit.edu/rest/article-abstract/94/4/1173/58059,"Toivanen, Otto, and Lotta Väänänen. ""Returns to inventors."" Review of Economics and Statistics 94, no. 4 (2012): 1173-1190.", 
Education and health at the household level in sub-Saharan Africa,https://www.researchgate.net/profile/Simon-Appleton-2/publication/5061621_Education_and_Health_at_the_Household_Level_in_Sub-Saharan_Africa/links/00b49524bc5fa05197000000/Education-and-Health-at-the-Household-Level-in-Sub-Saharan-Africa.pdf,"Appleton, Simon. ""Education and health at the household level in sub-Saharan Africa."" CID Working Paper Series (2000).", 
"Education, training and earnings in Australia and Britain",https://search.proquest.com/openview/bb8c28106691c9e28de13d483f6c8487/1?pq-origsite=gscholar&cbl=2026366&diss=y,"Dearden, Lorraine. Education, training and earnings in Australia and Britain. University of London, University College London (United Kingdom), 1995.", 
EŽects of Education on Farm and Non-Farm Productivity in Rural Pakistan,https://www.researchgate.net/profile/Takashi-Kurosaki/publication/228732660_ER_ects_of_Education_on_Farm_and_Non-Farm_Productivity_in_Rural_Pakistan/links/00b49524eb007b8136000000/ER-ects-of-Education-on-Farm-and-Non-Farm-Productivity-in-Rural-Pakistan.pdf,"KUROSAKI, Takashi. ""EŽects of Education on Farm and Non-Farm Productivity in Rural Pakistan."" (2001).", 
Returns to education in European countries,https://www.academia.edu/download/52302220/Returns-to-education.pdf,"Badescu, Mircea, Béatrice D’Hombres, and Ernesto Villalba. ""Returns to education in European countries."" Ispra Italy, European Commission–JRC (2011).", 
Returns to Human Capital: a review of the French empirical literature,https://www.etla.fi/wp-content/uploads/b156.pdf#page=96,"Guille, Marianne, and Ali Skalli. ""Returns to Human Capital: a review of the French empirical literature."" Returns to Human Capital in Europe: A Literature Review, Helsinki: ELTA (1999): 85-123.", 
"Return on investment in higher education: Evidence for different subjects, degrees and gender in Germany",https://core.ac.uk/download/pdf/14506940.pdf,"Wahrenburg, Mark, and Martin Weldi. Return on investment in higher education: Evidence for different subjects, degrees and gender in Germany. Johann Wolfgang Goethe Univ., Chair of Banking and Finance, 2007.", 
The effects of different stages of education on income across countries,https://iredu.u-bourgogne.fr/wp-content/uploads/2010/03/sem090310.pdf,"Akgüç, Mehtap. The effects of different stages of education on income across countries. Working paper, Toulouse School of Economics (TSE), 2011.", 
Pay Offs to Schooling and Returns to Credentials,https://www.spdc.org.pk/assets/upload/RR-75.pdf,"Khan, Amir Jahan. Pay Offs to Schooling and Returns to Credentials. Social Policy and Development Centre, 2008.", 
The Mincer human capital model in Pakistan: Implications for educational policy,https://www.econstor.eu/handle/10419/83948,"Abbasa, Qaisar, and James Foreman-Peck. The Mincer human capital model in Pakistan: Implications for educational policy. No. E2007/24. Cardiff Economics Working Papers, 2007.", 
Assessing the returns to education in Georgia,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1659701,"KHITARISHVILI, Tamar. Assessing the returns to education in Georgia. Bard College Levy Economics Institute Working Paper, 2010, 608.", 
Returns for Entrepreneurs vs. Employees: The Effect of Education and Personal Control on the Relative Performance of Entrepreneurs vs. Wage Employees,https://www.econstor.eu/handle/10419/36144,"Van Praag, C. Mirjam, Arjen Van Witteloostuijn, and Justin Van der Sluis. Returns for Entrepreneurs vs. Employees: The Effect of Education and Personal Control on the Relative Performance of Entrepreneurs vs. Wage Employees. No. 4628. IZA Discussion Papers, 2009.", 
Welfare Economics of Education when Signaling and Credit Constraints Co-exist,http://www.siecon.org/online/wp-content/uploads/2015/10/welfaresigneduc2013.pdf,"D’Amato, Marcello, and Dilip Mookherjee. ""Welfare Economics of Education when Signaling and Credit Constraints Co-exist.""", 
Identifying human capital externality: Evidence from China,https://www.sciencedirect.com/science/article/pii/S2096232019300101,"Liang, Yunling, Zhiqiang Liu, and Haizheng Li. ""Identifying human capital externality: Evidence from China."" Journal of Management Science and Engineering 1, no. 1 (2016): 75-93.", 
The role of cognitive skills in economic development,https://www.aeaweb.org/articles?id=10.1257/jel.46.3.607,"Hanushek, Eric A., and Ludger Woessmann. ""The role of cognitive skills in economic development."" Journal of economic literature 46, no. 3 (2008): 607-668.", 
The urban labour market during structural adjustment in Ethiopia 1990–1997,https://www.academia.edu/download/30209591/FULLTEXT02.pdf#page=133,"Dercon, Stefan, Tesfayi Gebre Selassie, and Pramila Krishnan. ""The urban labour market during structural adjustment in Ethiopia 1990–1997."" Poverty, income distribution and labour markets in Ethiopia (2005): 133.", 
Returns to bachelor's and master's degree in tertiary education: the case of the Czech Republic after the Bologna Process,https://www.tandfonline.com/doi/abs/10.1080/13511610.2020.1732198,"Raudenská, Petra, and Martina Mysíková. ""Returns to bachelor’s and master’s degree in tertiary education: the case of the Czech Republic after the Bologna Process."" Innovation: The European Journal of Social Science Research (2020): 1-17.", 
Wage Differentials in Sri Lanka: The case of a post-conflict country with a free education policy,https://www.inderscienceonline.com/doi/abs/10.1504/IJEED.2015.075796,"Kumara, Ajantha Sisira. ""Wage Differentials in Sri Lanka: The case of a post-conflict country with a free education policy."" International Journal of Education Economics and Development 6, no. 4 (2015): 343-365.", 
"Schooling, capital constraints, and entrepreneurial performance: The endogenous triangle",https://www.tandfonline.com/doi/abs/10.1198/073500106000000215,"Parker, Simon C., and C. Mirjam Van Praag. ""Schooling, capital constraints, and entrepreneurial performance: The endogenous triangle."" Journal of Business & Economic Statistics 24, no. 4 (2006): 416-431.", 
"Indian Labour Markets and Returns to Education, 1983 to 2009-10",https://www.researchgate.net/profile/Kamal-Vatta-2/publication/235827540_DP2012-33/links/0deec519a2983dbcd5000000/DP2012-33.pdf,"Vatta, Kamal, and Takahiro Sato. Indian Labour Markets and Returns to Education, 1983 to 2009-10. No. DP2012-33. 2012.", 
THE FINAL PUBLISHED VERSION OF THIS ARTICLE IS AVAILABLE ON THE PUBLISHER'S PLATFORM,https://documents.worldbank.org/curated/en/985881528466893383/pdf/946580JRN0Box309645292-2015-1005575.pdf,"Lanka, Sri. ""THE FINAL PUBLISHED VERSION OF THIS ARTICLE IS AVAILABLE ON THE PUBLISHER’S PLATFORM."" Education Economics 2015 (2015): 01-30.", 
"https://search.proquest.com/openview/beafe1591b36de2d8d2e75caf875ffab/1?pq-origsite=gscholar&cbl=18750&diss=y … differences in educational attainment, field of study, and increments to earnings (evidence from University of Illinois tracer studies and nationwide earnings …","Appiah, Elizabeth Naabena. Race and gender differences in educational attainment, field of study, and increments to earnings (evidence from University of Illinois tracer studies and nationwide earnings data). University of Illinois at Urbana-Champaign, 2002.",, 
"Schooling in developing countries: The roles of supply, demand and government policy",https://www.sciencedirect.com/science/article/pii/S1573447107040557,"Orazem, Peter F., and Elizabeth M. King. ""Schooling in developing countries: The roles of supply, demand and government policy."" Handbook of development economics 4 (2007): 3475-3559.", 
An Update of the Returns to Education in Kenya: Accounting both endogeneity and sample selection biases,https://www2.econ.osaka-u.ac.jp/econ_society/dp/1618.pdf,, 
Regional heterogeneity in the private and social returns to human capital,https://www.tandfonline.com/doi/abs/10.1080/17421770701232459,"López-Bazo, Enrique, and Rosina Moreno. ""Regional heterogeneity in the private and social returns to human capital."" Spatial Economic Analysis 2, no. 1 (2007): 23-44.", 
Disentangling the college wage premium: Estimating a model with endogenous education choices,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1468-2354.2006.00409.x,"Fang, Hanming. ""Disentangling the college wage premium: Estimating a model with endogenous education choices."" International Economic Review 47, no. 4 (2006): 1151-1185.", 
"Costs and benefits of education and training for the economy, business and individuals",https://apo.org.au/sites/default/files/resource-files/2016-07/apo-nid65965.pdf,"Griffin, Tabatha. ""Costs and benefits of education and training for the economy, business and individuals."" (2016).", 
An Estimation Model for Private Rate of Return on Education in high income petroleum based developing countries: The case of Kuwait,https://bura.brunel.ac.uk/handle/2438/7650,"Alqattan, Humoud. ""An Estimation Model for Private Rate of Return on Education in high income petroleum based developing countries: The case of Kuwait."" PhD diss., Brunel University, School of Information Systems, Computing and Mathematics, 2013.", 
"Family background, education and earnings in Kenya",https://gupea.ub.gu.se/handle/2077/2852,"Wambugu, Anthony. ""Family background, education and earnings in Kenya."" rapport nr.: Working Papers in Economics 76 (2002).", 
MINCER EQUATION AS A BENCHMARK MODEL FOR ESTIMATING RETURNS ON INVESTMENT IN EDUCATION,https://library.iated.org/view/JAHIC2020MIN,"Jahic, Hatidza, Amila Pilav-Velic, and Jasmina Selimovic. ""MINCER EQUATION AS A BENCHMARK MODEL FOR ESTIMATING RETURNS ON INVESTMENT IN EDUCATION."" In ICERI2020 Proceedings, pp. 17-26. IATED, 2020.", 
Earnings Returns to Different Educational Careers: The Relative Importance of Type vs. Field of Education,https://edudoc.ch/record/118333/files/15082_Pfister_Tuor-Sartore_etal.pdf,"Pfister, Curdin, Simone Tuor Sartore, and Uschi Backes-Gellner. Earnings Returns to Different Educational Careers: The Relative Importance of Type vs. Field of Education. No. 107. Leading House Working Paper, 2015.", 
Regional variation of returns to education,https://www.diva-portal.org/smash/get/diva2:795928/FULLTEXT01.pdf,"Backman, Mikaela. Regional variation of returns to education. Centre of Excellence for Science and Innovation Studies, The Royal Institute of Technology, 2013.", 
Export shocks and the volatility of returns to schooling: evidence from twelve Latin American economies,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2543698,"Lederman, Daniel, and Diego Rojas. ""Export shocks and the volatility of returns to schooling: evidence from twelve Latin American economies."" World Bank Policy Research Working Paper 7144 (2014).", 
Economic transition and college premium in urban China,https://www.sciencedirect.com/science/article/pii/S1043951X11001209,"Wang, Le. ""Economic transition and college premium in urban China."" China Economic Review 23, no. 2 (2012): 238-252.", 
Variations in the wage returns to a first degree: Evidence from the British cohort study 1970,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=742327,"Bratti, Massimiliano, Robin Naylor, and Jeremy Smith. ""Variations in the wage returns to a first degree: Evidence from the British cohort study 1970."" Available at SSRN 742327 (2005).", 
"Family background, education determination, and policy implications: Some selected aspects from various countries",https://www.taylorfrancis.com/chapters/edit/10.4324/9780203180433-9/family-background-education-determination-policy-implications-selected-aspects-various-countries-jere-behrman,"Behrman, Jere R. ""Family background, education determination, and policy implications: Some selected aspects from various countries."" In After the Bell, pp. 61-95. Routledge, 2004.", 
Effects of human capital on farm and non-farm productivity in rural Pakistan,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5f9c43fe8238c3fc948d2a497ba274711ed60c56,"KUROSAKI, Takashi. Effects of human capital on farm and non-farm productivity in rural Pakistan. Hitotsubashi University, 2001.", 
An Update of the Returns to Education in Kenya: Accounting both endogeneity and sample selection biases,https://www.academia.edu/download/46362652/Returns_to_education_in_Kenya.pdf,"Mizunoya, Kentaro Shimada Zeba Khan Suguru, and Ayako Wakano. ""An Update of the Returns to Education in Kenya: Accounting both endogeneity and sample selection biases."" (2016).", 
Returns to education in China: a meta-analysis,https://www.tandfonline.com/doi/abs/10.1080/00036846.2018.1488074,"Churchill, Sefa Awaworyi, and Vinod Mishra. ""Returns to education in China: a meta-analysis."" Applied Economics 50, no. 54 (2018): 5903-5919.", 
"Earnings, returns to schooling, earnings inequality, and the impact of the elasticity of substitution across skill levels: The case of the LDC",https://search.proquest.com/openview/934adb51fc12b042e1caee979fad697b/1?pq-origsite=gscholar&cbl=18750&diss=y,"Henderson, James William. Earnings, returns to schooling, earnings inequality, and the impact of the elasticity of substitution across skill levels: The case of the LDC. Southern Methodist University, 1981.", 
Working smarter: education and productivity,http://www.csls.ca/repsp/2/arthursweetman.pdf,"Sweetman, Arthur. ""Working smarter: education and productivity."" The review of economic performance and social progress 2 (2002).", 
Returns to schooling in Kazakhstan: an update using a pseudo-panel approach,https://link.springer.com/article/10.1007/s40822-020-00148-z,"Kemelbayeva, Saule. ""Returns to schooling in Kazakhstan: an update using a pseudo-panel approach."" Eurasian Economic Review 10 (2020): 437-487.", 
Returns to education in rural China: Alan De Brauw and Scott Rozelle,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203960950-22/returns-education-rural-china-alan-de-brauw-scott-rozelle-alan-de-brauw-scott-rozelle,"de Brauw, Alan, and Scott Rozelle. ""Returns to education in rural China: Alan De Brauw and Scott Rozelle."" In Education and Reform in China, pp. 222-238. Routledge, 2012.", 
The economic value of education and cognitive skills,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203880968-5/economic-value-education-cognitive-skills-eric-hanushek,"Hanushek, Eric A. ""The economic value of education and cognitive skills."" Handbook of education policy research (2012): 39-56.", 
"Essays on education, rural-urban migration and wage structure in urban China",https://scholar.archive.org/work/lmtsfinpmjgyjdvmbpv3un2pkq/access/wayback/https://repository.unsworks.unsw.edu.au/server/api/core/bitstreams/2169a866-c350-4e15-9a45-38576411d097/content,"Zhu, Rong. ""Essays on education, rural-urban migration and wage structure in urban China."" PhD diss., UNSW Sydney, 2011.", 
Are Educated Really Workers More Productive,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8d09a7ed19baa29c34afaa1c65f7759daa686f57,"Jones, Patricia. ""Are Educated Really Workers More Productive."" Department of Economics Vassar College (2008): 1-44.", 
Why are the returns to education higher for entrepreneurs than for employees?,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1022966,"Van der Sluis, Justin, Mirjam Van Praag, and Arjen Van Witteloostuijn. Why are the returns to education higher for entrepreneurs than for employees?. Vol. 3058. IZA, 2007.", 
"ON THE REWARDS TO EDUCATION IN SPAIN: ENDOGENEITY AND REGIONAL DIFFERENCES. LILLO, Adelaida",https://www.academia.edu/download/42761918/eers1033.pdf,"CASADO-DÍAZ, José M. ""ON THE REWARDS TO EDUCATION IN SPAIN: ENDOGENEITY AND REGIONAL DIFFERENCES. LILLO, Adelaida.""", 
Rates of return to degrees across British regions,https://www.tandfonline.com/doi/abs/10.1080/00343400601142811,"O'leary, Nigel C., and Peter J. Sloane. ""Rates of return to degrees across British regions."" Regional Studies 42, no. 2 (2008): 199-213.", 
Education and the labor market in Central Asia: The cases of Mongolia and Tajikistan,https://search.proquest.com/openview/222d10b2bc685cc551ddc208df194d43/1?pq-origsite=gscholar&cbl=18750,"Banzragch, Otgontugs. Education and the labor market in Central Asia: The cases of Mongolia and Tajikistan. Columbia University, 2010.", 
The value of higher education: Individual and societal benefits,https://core.ac.uk/download/pdf/79586660.pdf,"Hill, Kent, Dennis Hoffman, and Tom R. Rex. ""The value of higher education: Individual and societal benefits."" Arizona State University, Tempe, AZ, USA (2005).", 
Heterogeneities in the returns to degrees: evidence from the British Cohort Study 1970,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1319026,"Bratti, Massimiliano, Robin Naylor, and Jeremy Smith. ""Heterogeneities in the returns to degrees: evidence from the British Cohort Study 1970."" DEAS, University of Milan, Departmental Working Paper 2008-40 (2008).", 
Approaches to learn about employer learning,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4305541,"Ablay, Mahmut, and Fabian Lange. ""Approaches to learn about employer learning."" (2022).", 
"Agriculture and human capital in economic growth: Farmers, schooling and nutrition",https://www.sciencedirect.com/science/article/pii/S157400720603043X,"Huffman, Wallace E., and Peter F. Orazem. ""Agriculture and human capital in economic growth: Farmers, schooling and nutrition."" Handbook of agricultural economics 3 (2007): 2281-2341.", 
Gender differences in the returns to education in Mexico,http://eprints.uanl.mx/7530/,"Caamal Olvera, Cinthya Guadalupe. ""Gender differences in the returns to education in Mexico."" Journal of business and policy research (2013): 1-12.", 
"People, places and earnings differentials in Scotland",https://www.tandfonline.com/doi/abs/10.1080/00343404.2015.1100286,"Melo, Patricia C. ""People, places and earnings differentials in Scotland."" Regional Studies 51, no. 3 (2017): 389-403.", 
5. THE INEQUALITY OF THE WAGE DISTRIBUTION IN 15 EUROPEAN COUNTRIES 9,None,5. THE INEQUALITY OF THE WAGE DISTRIBUTION IN 15 EUROPEAN COUNTRIES 9  https://cordis.europa.eu/docs/projects/files/SOE/SOE2982044/70781481-6_en.pdf#page=38, 
"Returns to schooling in Italy, OLS, IV and gender differences",https://www.academia.edu/download/3465995/returns.pdf,"Flabbi, Luca. Returns to schooling in Italy, OLS, IV and gender differences. Universit? Bocconi, 1999.", 
Return on education in two major Vietnamese cities,https://www.mdpi.com/530366,"CHOI, Daeheon; CHUNG, Chune Young; TRUONG, Ha. Return on education in two major Vietnamese cities. Sustainability, 2019, 11.18: 4903.", 
A degree of waste: A dissenting view,https://www.tandfonline.com/doi/abs/10.1080/0305498930190403,"JOHNES, Geraint. A degree of waste: A dissenting view. Oxford Review of Education, 1993, 19.4: 459-464.", 
The returns to education: Evidence from the Labour Force Surveys,https://dera.ioe.ac.uk/4656/1/RR313.pdf,"Walker, Ian, and Yu Zhu. ""The returns to education: Evidence from the Labour Force Surveys."" (2001).", 
"Heterogeneity in the economic returns to schooling among Chinese rural–urban migrants, 2002–07",https://onlinelibrary.wiley.com/doi/abs/10.1111/ecot.12057,"Zhu, Rong. ""Heterogeneity in the economic returns to schooling among Chinese rural–urban migrants, 2002–07."" Economics of Transition 23, no. 1 (2015): 135-167.", 
Understanding low average returns to education in Africa: the role of heterogeneity across education levels and the importance of political and economic …,https://ftp.iza.org/dp3766.pdf,"Oyelere, Ruth Uwaifo. Understanding low average returns to education in Africa: the role of heterogeneity across education levels and the importance of political and economic reforms. Forschungsinst. zur Zukunft der Arbeit, 2008.", 
Bayesian inference on returns to schooling in Palestine,https://fada.birzeit.edu/bitstream/20.500.11889/5922/1/HD5962.23.A6A99%202014.pdf,"Ayyash, Mohsen. ""Bayesian inference on returns to schooling in Palestine."" PhD diss., 2014.", 
Using rate of return analyses to understand sector skill needs,https://eprints.lse.ac.uk/19408/1/Using_Rate_of_Return_Analyses_to_Understand_Sector_Skill_Needs.pdf,"Powdthavee, Nattavudh, and Anna Vignoles. Using rate of return analyses to understand sector skill needs. No. 70. Centre for the Economics of Education, London School of Economics and Political Science, 2006.", 
Changes in return to higher education in Poland 1998-2005,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1159044,"Strawinski, Pawel. ""Changes in return to higher education in Poland 1998-2005."" Available at SSRN 1159044 (2008).", 
Wage returns to education in Ethiopia,https://www.tandfonline.com/doi/abs/10.1080/13600818.2019.1672145,"Alvi, Eskander, and Seife Dendir. ""Wage returns to education in Ethiopia."" Oxford Development Studies 48, no. 1 (2020): 70-84.", 
The contribution of universities to regional economies,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=6b88f46c7f7458e42d30182aedc5beab2e6f7c37,"Hoffman, Dennis L., and Kent Hill. The contribution of universities to regional economies. Center for Competitiveness and Prosperity Research, L. William Seidman Research Institute, WP Carey School of Business, Arizona State University, 2008.", 
Three Essays on Investment in Human Capital in Canada,https://library-archives.canada.ca/eng/services/services-libraries/theses/Pages/item.aspx?idNumber=1132080080,"Savadogo, Aboudrahyme. ""Three Essays on Investment in Human Capital in Canada."" PhD diss., Université Laval, 2016.", 
Human capital externalities and the urban wage premium: Two literatures and their interrelations,https://journals.sagepub.com/doi/pdf/10.1177/0042098009352363,"Heuermann, Daniel, Benedikt Halfdanarson, and Jens Suedekum. ""Human capital externalities and the urban wage premium: Two literatures and their interrelations."" Urban Studies 47, no. 4 (2010): 749-767.", 
How important is education for getting ahead in South Africa?,https://open.uct.ac.za/handle/11427/20157,"Keswell, Malcolm, and Laura Poswell. ""How important is education for getting ahead in South Africa?."" (2002).", 
The public role in higher education,https://www.journals.uchicago.edu/doi/abs/10.17310/ntj.2006.2.06,"Courant, Paul N., Michael McPherson, and Alexandra M. Resch. ""The public role in higher education."" National Tax Journal 59, no. 2 (2006): 291-318.", 
Private rates of return to human capital in Spain: New evidence,https://www.funcas.es/wp-content/uploads/Migracion/Publicaciones/PDF/1003.pdf,"Barceinas, F., J. Oliver-Alonso, J. L. Raymond, and J. L. Roig. ""Private rates of return to human capital in Spain: New evidence."" Documentos de Trabajo No. 162/2000, FUNCAS (2000).", 
"Return to Education and Endogeneity Bias: A Study Of Higher Education Institutions in Khyber Pakhtunkhwa, Pakistan",http://pjss.bzu.edu.pk/index.php/pjss/article/view/869,"Khan, Aamir, and Himayatullah Khan. ""Return to Education and Endogeneity Bias: A Study Of Higher Education Institutions in Khyber Pakhtunkhwa, Pakistan."" Pakistan Journal of Social Sciences 40, no. 2 (2020): 603-614.", 
Returns to education and the Italian case: what role for macro-regional differences?,https://www.politesi.polimi.it/handle/10589/169857,"Casieri, Riccardo, and Simone Diodato. ""Returns to education and the Italian case: what role for macro-regional differences?."" (2020).", 
Higher education in China: A growth paradox?,https://books.google.com/books?hl=en&lr=&id=ncbADwAAQBAJ&oi=fnd&pg=PA3&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=YE8pPA6ayp&sig=RoPEujF5CQ5GZx6doMO0aF4dGzc,"Fleisher, Belton M. ""Higher education in China: A growth paradox?."" (2002).", 
The Economics of Education,https://ruor.uottawa.ca/bitstream/10393/25304/1/2007_macgregor_daniel.pdf,"Macgregor, Daniel. ""The Economics of Education."" (2007).", 
Higher Education Externalities in Egyptian Labor Markets,http://scholar.cu.edu.eg/sites/default/files/hanan_nazier/files/amae_vol_3_2_13.pdf,"Nazier, Hanan. ""Higher Education Externalities in Egyptian Labor Markets."" Advances in Management and Applied Economics 3, no. 2 (2013): 193.", 
Investment in education—inputs and incentives,https://www.sciencedirect.com/science/article/pii/B9780444529442000112,"Behrman, Jere R. ""Investment in education—inputs and incentives."" In Handbook of development economics, vol. 5, pp. 4883-4975. Elsevier, 2010.", 
Education and skills: An assessment of recent Canadian experience,http://papers.economics.ubc.ca/legacypapers/dp0126.pdf,"Riddell, W. Craig. Education and skills: An assessment of recent Canadian experience. Centre for the Study of Living Standards, 2001.", 
Estimation of Rate of Returns on Investment in Education in Myanmar,https://meral.edu.mm/record/8363/file_preview/Khin%20Moh%20Moh%2C%20Stats.%2C4PhD-Ah-1%2C%2013-9-2022.pdf?allow_aggs=True,"Moh, Khin Moh. ""Estimation of Rate of Returns on Investment in Education in Myanmar."" PhD diss., MERAL Portal, 2022.", 
